,Flight Number,Launch Site,class,Payload Mass (kg),Booster Version,Booster Version Category
0,1,CCAFS LC-40,0,0.0,F9 v1.07B0003.18,v1.0
1,2,CCAFS LC-40,0,0.0,F9 v1.07B0004.18,v1.0
2,3,CCAFS LC-40,0,525.0,F9 v1.07B0005.18,v1.0
3,4,CCAFS LC-40,0,4700.0,F9 v1.07B0006.18,v1.0
4,5,CCAFS LC-40,0,4877.0,F9 v1.07B0007.18,v1.0
5,6,VAFB SLC-4E,0,500.0,F9 v1.17B10038,v1.1
6,7,CCAFS LC-40,0,3170.0,F9 v1.1,v1.1
7,8,CCAFS LC-40,0,3325.0,F9 v1.1,v1.1
8,9,CCAFS LC-40,0,2296.0,F9 v1.1,v1.1
9,10,CCAFS LC-40,0,1316.0,F9 v1.1,v1.1
10,11,CCAFS LC-40,0,4535.0,F9 v1.1,v1.1
11,12,CCAFS LC-40,0,4428.0,F9 v1.1[,v1.1
12,13,CCAFS LC-40,0,2216.0,F9 v1.1[,v1.1
13,14,CCAFS LC-40,0,2395.0,F9 v1.1[,v1.1
14,15,CCAFS LC-40,0,570.0,F9 v1.1[,v1.1
15,16,CCAFS LC-40,0,4159.0,F9 v1.1[,v1.1
16,17,CCAFS LC-40,0,1898.0,F9 v1.1[,v1.1
17,18,CCAFS LC-40,0,4707.0,F9 v1.1[,v1.1
18,19,CCAFS LC-40,0,1952.0,F9 v1.1[,v1.1
19,20,CCAFS LC-40,1,2034.0,F9 FT[,FT
20,21,VAFB SLC-4E,0,553.0,F9 v1.1[,v1.1
21,22,CCAFS LC-40,0,5271.0,F9 FT[,FT
22,23,CCAFS LC-40,1,3136.0,F9 FT[,FT
23,24,CCAFS LC-40,1,4696.0,F9 FT[,FT
24,25,CCAFS LC-40,1,3100.0,F9 FT[,FT
25,26,CCAFS LC-40,0,3600.0,F9 FT[,FT
26,27,CCAFS LC-40,1,2257.0,F9 FT[,FT
27,28,CCAFS LC-40,1,4600.0,F9 FT[,FT
28,29,VAFB SLC-4E,1,9600.0,F9 FT[,FT
29,30,KSC LC-39A,1,2490.0,F9 FT[,FT
30,31,KSC LC-39A,0,5600.0,F9 FT[,FT
31,32,KSC LC-39A,1,5300.0,F9 FT♺[,FT
32,33,KSC LC-39A,1,0.0,F9 FT[,FT
33,34,KSC LC-39A,0,6070.0,F9 FT[,FT
34,35,KSC LC-39A,1,2708.0,F9 FT[,FT
35,36,KSC LC-39A,1,3669.0,F9 FTB1029.2195,FT
36,37,VAFB SLC-4E,1,9600.0,F9 FT[,FT
37,38,KSC LC-39A,0,6761.0,F9 FT[,FT
38,39,KSC LC-39A,1,3310.0,F9 B4[,B4
39,40,VAFB SLC-4E,1,475.0,F9 FT[,FT
40,41,KSC LC-39A,1,4990.0,F9 B4[,B4
41,42,VAFB SLC-4E,1,9600.0,F9 B4[,B4
42,43,KSC LC-39A,1,5200.0,F9 FTB1031.2220,FT
43,44,KSC LC-39A,1,3500.0,F9 B4[,B4
44,45,CCAFS LC-40,1,2205.0,F9 FTB1035.2227,FT
45,46,VAFB SLC-4E,0,9600.0,F9 FTB1036.2227,FT
46,47,CCAFS LC-40,1,0.0,F9 B4[,B4
47,48,CCAFS LC-40,0,4230.0,F9 FTB1032.2245,FT
48,49,VAFB SLC-4E,0,2150.0,F9 FTB1038.2268,FT
49,50,CCAFS LC-40,0,6092.0,F9 B4[,B4
50,51,VAFB SLC-4E,0,9600.0,F9 B4B1041.2268,B4
51,52,CCAFS LC-40,0,2647.0,F9 B4B1039.2292,B4
52,53,CCAFS LC-40,1,362.0,F9 B4[,B4
53,54,KSC LC-39A,1,3600.0,F9 B5311B1046.1268,B5
54,55,VAFB SLC-4E,0,6460.0,F9 B4B1043.2322,B4
55,56,CCAFS LC-40,0,5384.0,F9 B4B1040.2268,B4
